ax,ay,az,gx,gy,gz,target,target_name
-0.11,0.07,0.98,-33.63,-0.12,-16.24,0.0,clockwise_wrist_turn
-0.11,0.08,0.98,-34.42,-0.61,-15.44,0.0,clockwise_wrist_turn
-0.11,0.08,0.97,-35.1,-0.79,-14.83,0.0,clockwise_wrist_turn
-0.11,0.07,0.97,-35.22,-0.98,-13.85,0.0,clockwise_wrist_turn
-0.11,0.06,0.96,-35.16,-1.1,-12.94,0.0,clockwise_wrist_turn
-0.1,0.06,0.96,-35.71,-1.22,-12.33,0.0,clockwise_wrist_turn
-0.1,0.06,0.95,-36.8,-1.04,-11.6,0.0,clockwise_wrist_turn
-0.1,0.05,0.95,-37.96,-0.85,-10.56,0.0,clockwise_wrist_turn
-0.1,0.05,0.94,-40.04,-0.98,-9.4,0.0,clockwise_wrist_turn
-0.1,0.06,0.95,-42.54,-0.85,-8.36,0.0,clockwise_wrist_turn
-0.1,0.05,0.95,-45.17,-0.55,-7.2,0.0,clockwise_wrist_turn
-0.1,0.02,0.95,-46.39,-0.55,-6.29,0.0,clockwise_wrist_turn
-0.11,-0.0,0.95,-46.45,-0.43,-5.37,0.0,clockwise_wrist_turn
-0.11,-0.02,0.94,-44.19,-0.31,-4.58,0.0,clockwise_wrist_turn
-0.09,-0.03,0.94,-40.65,0.06,-3.3,0.0,clockwise_wrist_turn
-0.09,-0.05,0.94,-36.99,0.43,-2.69,0.0,clockwise_wrist_turn
-0.09,-0.07,0.94,-32.84,0.73,-1.34,0.0,clockwise_wrist_turn
-0.1,-0.07,0.96,-28.81,0.98,0.24,0.0,clockwise_wrist_turn
-0.1,-0.06,0.96,-26.31,1.04,1.53,0.0,clockwise_wrist_turn
-0.11,-0.04,0.96,-26.86,0.73,2.62,0.0,clockwise_wrist_turn
-0.11,-0.04,0.94,-29.3,0.55,3.3,0.0,clockwise_wrist_turn
-0.1,-0.05,0.94,-32.04,0.79,3.91,0.0,clockwise_wrist_turn
-0.1,-0.06,0.94,-34.06,0.98,4.82,0.0,clockwise_wrist_turn
-0.1,-0.09,0.95,-34.67,0.92,5.37,0.0,clockwise_wrist_turn
-0.1,-0.11,0.95,-33.81,0.92,5.86,0.0,clockwise_wrist_turn
-0.09,-0.12,0.95,-32.41,0.98,6.53,0.0,clockwise_wrist_turn
-0.1,-0.14,0.96,-30.27,1.16,7.08,0.0,clockwise_wrist_turn
-0.1,-0.16,0.96,-27.71,1.04,7.32,0.0,clockwise_wrist_turn
-0.09,-0.18,0.96,-24.29,0.73,7.63,0.0,clockwise_wrist_turn
